registrationid,vendorid,code,name,email,address1,address2,address3,city,state,zipcode,phone,fax,contact,active
14,14,000E,                             .,davidh@saltydog.net,,,,,00,00   0000,0000000000,0000000000,David Harrison,1
15,15,000F,                             .,,,,                           *,,00,00   0000,0000000000,0000000000,,1
16,16,000G,                             .,,,,                           *,,00,00   0000,0000000000,0000000000,,1
17,17,000I,                             .,,,,                           *,,00,00   0000,0000000000,0000000000,,1
18,18,000J,                             .,,,,                           *,,00,00   0000,0000000000,0000000000,,1
6025,6025,6994,   WOODWORKERS ,,21801 INDUSTRIAL BLVD,"ROGERS, MN 55374-9514",                           *,ROGERS,MN,553749514,0000000000,0000000000,,0
10232,10232,, Sweetwater Pro Gear,,www.sweetwater.com,,,,  ,,800-222-4700,need this,,0
12712,13207,X816,"""D"" ELECTRIC MOTORS, INC.",,94 W. SHERMAN AVENUE,,,VINELAND,NJ,08360,856-696-5959,856-692-2505,,0
7332,7332,8911,"""IN CONTROL""",,PO BOX 1122,"MERRIMACK, N.H. 03054",                           *,MERRIMACK,NH,030540000,0000000000,0000000000,,1
4690,4690,4766,#1 SPORTS,,36 ST. PAUL ST. SUITE 121,"ROCHESTER, NY 14604",716-232-4110               *,ROCHESTER,NY,146040000,7162324110,0000000000,,1
574,574,0550,*** ITEMS NOT BID ***,,,,                           *,,05,550  0000,0000000000,0000000000,,1
768,768,0750,*** ITEMS NOT BID ***,,,,                           *,,07,750  0000,0000000000,0000000000,,1
804,804,0790,*** ITEMS NOT BID ***,,,,                           *,,07,790  0000,0000000000,0000000000,,1
2963,2963,3000,*** ITEMS NOT BID ***,,,,                           *,,30,000  0000,0000000000,0000000000,,1
217,217,0200,**** ITEMS NOT BID ****,,,,                           *,,02,200  0000,0000000000,0000000000,,1
368,368,0346,******* NO AWARD *******,,,,                           *,,03,346  0000,0000000000,0000000000,,1
365,365,0343,*****NO PURCHASE*****,,,,                           *,,03,343  0000,0000000000,0000000000,,0
7106,7106,8500,****COMPUTER VENDORS*****,,,,                           *,,85,500  0000,0000000000,0000000000,,1
371,371,0349,****ITEMS DELETED****,,,,                           *,,03,349  0000,0000000000,0000000000,,1
423,423,0400,***ITEMS NOT BID***,,,,                           *,,04,400  0000,0000000000,0000000000,,1
721,721,0700,***ITEMS NOT BID***,,,,                           *,,07,700  0000,0000000000,0000000000,,1
3482,3482,3500,***ITEMS NOT BID***,,,,                           *,,35,500330000,0000000000,0000000000,,1
5260,5260,6100,***ITEMS NOT BID***,,,,                           *,,61,100  0000,0000000000,0000000000,,1
5357,5357,6200,***ITEMS NOT BID***,,,,                           *,,62,200  0000,0000000000,0000000000,,1
5452,5452,6300,***ITEMS NOT BID***,,,,                           *,,63,300  0000,0000000000,0000000000,,1
5502,5502,6350,***ITEMS NOT BID***,,,,                           *,,63,350  0000,0000000000,0000000000,,1
5552,5552,6400,***ITEMS NOT BID***,,,,                           *,,64,400  0000,0000000000,0000000000,,1
5607,5607,6450,***ITEMS NOT BID***,,,,                           *,,64,450  0000,0000000000,0000000000,,1
5656,5656,6500,***ITEMS NOT BID***,,,,                           *,,65,500  0000,0000000000,0000000000,,1
5741,5741,6600,***ITEMS NOT BID***,,,,                           *,,66,600  0000,0000000000,0000000000,,1
5855,5855,6800,***ITEMS NOT BID***,,,,                           *,,68,800  0000,0000000000,0000000000,,1
370,370,0348,**DIRECT ORDER ITEM**,,,,                           *,,03,348  0000,0000000000,0000000000,,1
5982,5982,6950,**ITEMS DELETED**,,,,                           *,,69,950  0000,0000000000,0000000000,,1
7311,7311,8800,**NOT AVAILABLE FROM CASCADE**,,,,                           *,,88,800420000,0000000000,0000000000,,1
2180,2180,2200,+++,,,,                           *,,22,200  0000,0000000000,0000000000,,1
2466,2466,2500,++++,,,,                           *,,25,500  0000,0000000000,0000000000,,1
2663,2663,2700,++++,,,,                           *,,27,700  0000,0000000000,0000000000,,1
2763,2763,2800,++++,,,,                           *,,28,800  0000,0000000000,0000000000,,1
2863,2863,2900,++++,,,,                           *,,29,900  0000,0000000000,0000000000,,1
7098,7098,8400,++++,,,,                           *,,84,400  0000,0000000000,0000000000,,1
6954,6954,8100,++++,,,,                           *,,81,100  0000,0000000000,0000000000,,1
6974,6974,8200,++++,,,,                           *,,82,200360000,0000000000,0000000000,,1
4905,4905,5400,++++,,,,                           *,,54,400030000,0000000000,0000000000,,1
7000,7000,8300,+++++,,,,                           *,,83,300  0000,0000000000,0000000000,,1
4955,4955,5625,.,,,,                           *,,56,625  0000,0000000000,0000000000,,1
7388,7388,9029,..,,,,                           *,,90,029  0000,0000000000,0000000000,,1
40,40,003 ,..,,,,                           *,,00,03   0000,0000000000,0000000000,,1
7026,7026,8326,////////////////////,,,,                           *,,83,326  0000,0000000000,0000000000,,1
1099,1099,107A,0000,,,,                           *,,10,070000000,0000000000,0000000000,,1
427,10172,0404,1 ON 1 SCHOOL SUPPLIES,sales@imawebsite.com,337 W US HIGHWAY 92,,,SEFFNER,FL,33584,877-275-9955,813-571-7631,,1
10172,10172,,1 ON 1 SCHOOL SUPPLIES,www.1on1schoolsupplies.com,337 W US HIGHWAY 92,,,SEFFNER,FL,33584,877-275-9955,813-571-7631,,1
2687,2687,2724,1-WORLD GLOBES & MAPS ,,1605 JACKSON STREET,,,SEATTLE,WA,98144,206-781-1400,206-781-1401,,1
4564,4564,4638,10-S TENNIS SUPPLY,,1400 NORTHWEST 13TH AVENUE,,,POMPANO BEACH,FL,33069,800-247-3907,954-969-5451,,0
1021,1021,1.00,111,,,,                           *,,10,001110000,0000000000,0000000000,,1
5992,5992,696 ,1111,,,,                           *,,69,961110000,0000000000,0000000000,,1
4244,4244,429G,112,,,,                           *,,42,291120000,0000000000,0000000000,,1
8353,8353,5227,123 AUTO PARTS,,2029 HIGHWAY 9,,,LAKEWOOD,NJ,08701,732-364-3440,,,1
11737,11770,X050,192 Branch Interior Services Inc/Branch Services,,2099 9th AVENUE,,,RONKONKOMA,NY,11779,631-467-6600,631-467-6611,,1
15912,1711158,9665,1st Class Business Services ,print@1stclassco.com,"211 W Front Street, Suite 118",,,Plainfield,NJ,07060,908-900-4430 ,,,1
14458,1117789,R751,"1ST GOAL HEATING AND COOLING, LLC",,30 HUFF STREET,,,WHARTON,NJ,07885,201-598-2740,,,1
11662,11688,X001,1st Heating Solutions LLC,,619 Oakside Road,,,Yorktown Heights,NY,10598,845-628-9900,845-519-2905,,1
14921,1434584,T244,1ST WESTCO CORPORATION,,800 Newton Avenue,,,Oaklyn,NJ,08107,856-858-7771,856-858-2615,,1
14830,1432358,R969,2 RIVER GROUP,katherine@2rivergroup.com,16 W. RIVER ROAD  SUITE 3,,,RUMSON,NJ,07760,732-383-7871,,,1
