registrationid,vendorid,VendorBids_Code,VendorBids_Name,VendorBids_Email,VendorBids_City,VendorBids_State,EDS_VendorId,EDS_Code,EDS_Name,EDS_Email,EDS_City,EDS_State,VendorBids_Status,EDS_Status
1687,1687,1693,,,MARLTON,NJ,1687,,,,MARLTON,NJ,Inactive,Inactive
11666,11692,X004,,,,,11692,,,,,,Inactive,Inactive
11676,11707,X013,,,,,11707,,,,,,Inactive,Inactive
11878,11912,X213,,,,,11912,,,,,,Inactive,Inactive
14,14,000E,                             .,davidh@saltydog.net,,00,14,000E,                             .,,,00,Active,Active
15,15,000F,                             .,,,00,15,000F,                             .,,,00,Active,Active
16,16,000G,                             .,,,00,16,000G,                             .,,,00,Active,Active
17,17,000I,                             .,,,00,17,000I,                             .,,,00,Active,Active
18,18,000J,                             .,,,00,18,000J,                             .,,,00,Active,Active
6025,6025,6994,   WOODWORKERS ,,ROGERS,MN,6025,6994,   WOODWORKERS ,,ROGERS,MN,Inactive,Inactive
10232,10232,, Sweetwater Pro Gear,,,  ,10232,,,,,,Inactive,Inactive
12712,13207,X816,"""D"" ELECTRIC MOTORS, INC.",,VINELAND,NJ,13207,X816,"""D"" ELECTRIC MOTORS, INC.",,VINELAND,NJ,Inactive,Inactive
7332,7332,8911,"""IN CONTROL""",,MERRIMACK,NH,7332,8911,"""IN CONTROL""",,MERRIMACK,NH,Active,Active
4690,4690,4766,#1 SPORTS,,ROCHESTER,NY,4690,4766,#1 SPORTS,,ROCHESTER,NY,Active,Active
2963,2963,3000,*** ITEMS NOT BID ***,,,30,2963,3000,*** ITEMS NOT BID ***,,,30,Active,Active
574,574,0550,*** ITEMS NOT BID ***,,,05,574,0550,*** ITEMS NOT BID ***,,,05,Active,Active
768,768,0750,*** ITEMS NOT BID ***,,,07,768,0750,*** ITEMS NOT BID ***,,,07,Active,Active
804,804,0790,*** ITEMS NOT BID ***,,,07,804,0790,*** ITEMS NOT BID ***,,,07,Active,Active
217,217,0200,**** ITEMS NOT BID ****,,,02,217,0200,**** ITEMS NOT BID ****,,,02,Active,Active
368,368,0346,******* NO AWARD *******,,,03,368,0346,******* NO AWARD *******,,,03,Active,Active
7106,7106,8500,****COMPUTER VENDORS*****,,,85,7106,8500,****COMPUTER VENDORS*****,,,85,Active,Active
371,371,0349,****ITEMS DELETED****,,,03,371,0349,****ITEMS DELETED****,,,03,Active,Active
423,423,0400,***ITEMS NOT BID***,,,04,423,0400,***ITEMS NOT BID***,,,04,Active,Active
721,721,0700,***ITEMS NOT BID***,,,07,721,0700,***ITEMS NOT BID***,,,07,Active,Active
3482,3482,3500,***ITEMS NOT BID***,,,35,3482,3500,***ITEMS NOT BID***,,,35,Active,Active
5607,5607,6450,***ITEMS NOT BID***,,,64,5607,6450,***ITEMS NOT BID***,,,64,Active,Active
5656,5656,6500,***ITEMS NOT BID***,,,65,5656,6500,***ITEMS NOT BID***,,,65,Active,Active
5741,5741,6600,***ITEMS NOT BID***,,,66,5741,6600,***ITEMS NOT BID***,,,66,Active,Active
5855,5855,6800,***ITEMS NOT BID***,,,68,5855,6800,***ITEMS NOT BID***,,,68,Active,Active
5260,5260,6100,***ITEMS NOT BID***,,,61,5260,6100,***ITEMS NOT BID***,,,61,Active,Active
5357,5357,6200,***ITEMS NOT BID***,,,62,5357,6200,***ITEMS NOT BID***,,,62,Active,Active
5452,5452,6300,***ITEMS NOT BID***,,,63,5452,6300,***ITEMS NOT BID***,,,63,Active,Active
5502,5502,6350,***ITEMS NOT BID***,,,63,5502,6350,***ITEMS NOT BID***,,,63,Active,Active
5552,5552,6400,***ITEMS NOT BID***,,,64,5552,6400,***ITEMS NOT BID***,,,64,Active,Active
370,370,0348,**DIRECT ORDER ITEM**,,,03,370,0348,**DIRECT ORDER ITEM**,,,03,Active,Active
5982,5982,6950,**ITEMS DELETED**,,,69,5982,6950,**ITEMS DELETED**,,,69,Active,Active
7311,7311,8800,**NOT AVAILABLE FROM CASCADE**,,,88,7311,8800,**NOT AVAILABLE FROM CASCADE**,,,88,Active,Active
2180,2180,2200,+++,,,22,2180,2200,+++,,,22,Active,Active
2466,2466,2500,++++,,,25,2466,2500,++++,,,25,Active,Active
2863,2863,2900,++++,,,29,2863,2900,++++,,,29,Active,Active
2663,2663,2700,++++,,,27,2663,2700,++++,,,27,Active,Active
2763,2763,2800,++++,,,28,2763,2800,++++,,,28,Active,Active
4905,4905,5400,++++,,,54,4905,5400,++++,,,54,Active,Active
7098,7098,8400,++++,,,84,7098,8400,++++,,,84,Active,Active
6974,6974,8200,++++,,,82,6974,8200,++++,,,82,Active,Active
6954,6954,8100,++++,,,81,6954,8100,++++,,,81,Active,Active
7000,7000,8300,+++++,,,83,7000,8300,+++++,,,83,Active,Active
4955,4955,5625,.,,,56,4955,5625,.,,,56,Active,Active
40,40,003 ,..,,,00,40,003 ,..,,,00,Active,Active
7388,7388,9029,..,,,90,7388,9029,..,,,90,Active,Active
7026,7026,8326,////////////////////,,,83,7026,8326,////////////////////,,,83,Active,Active
1099,1099,107A,0000,,,10,1099,107A,0000,,,10,Active,Active
10172,10172,,1 ON 1 SCHOOL SUPPLIES,www.1on1schoolsupplies.com,SEFFNER,FL,10172,0404,1 ON 1 SCHOOL SUPPLIES,sales@imawebsite.com,SEFFNER,FL,Active,Active
427,10172,0404,1 ON 1 SCHOOL SUPPLIES,sales@imawebsite.com,SEFFNER,FL,10172,0404,1 ON 1 SCHOOL SUPPLIES,sales@imawebsite.com,SEFFNER,FL,Active,Active
2687,2687,2724,1-WORLD GLOBES & MAPS ,,SEATTLE,WA,2687,2724,1-WORLD GLOBES & MAPS ,,SEATTLE,WA,Active,Active
4564,4564,4638,10-S TENNIS SUPPLY,,POMPANO BEACH,FL,4564,4638,10-S TENNIS SUPPLY,sales@10-S.com,POMPANO BEACH,FL,Inactive,Inactive
1021,1021,1.00,111,,,10,1021,1.00,111,,,10,Active,Active
5992,5992,696 ,1111,,,69,5992,696 ,1111,,,69,Active,Active
4244,4244,429G,112,,,42,4244,429G,112,,,42,Active,Active
8353,8353,5227,123 AUTO PARTS,,LAKEWOOD,NJ,8353,5227,123 AUTO PARTS,service@123autoparts.com,LAKEWOOD,NJ,Active,Active
11737,11770,X050,192 Branch Interior Services Inc/Branch Services,,RONKONKOMA,NY,11770,X050,192 Branch Interior Services Inc/Branch Services,g.boccuzzo@branchservicesinc.com,RONKONKOMA,NY,Active,Active
15912,1711158,9665,1st Class Business Services ,print@1stclassco.com,Plainfield,NJ,1711158,9665,1st Class Business Services ,print@1stclassco.com,Plainfield,NJ,Active,Active
14458,1117789,R751,"1ST GOAL HEATING AND COOLING, LLC",,WHARTON,NJ,1117789,R751,"1ST GOAL HEATING AND COOLING, LLC",firstgoalhvac@yahoo.com,WHARTON,NJ,Active,Active
11662,11688,X001,1st Heating Solutions LLC,,Yorktown Heights,NY,11688,X001,1st Heating Solutions LLC,heatsolutionsllc@aol.com,Yorktown Heights,NY,Active,Active
14921,1434584,T244,1ST WESTCO CORPORATION,,Oaklyn,NJ,1434584,T244,1ST WESTCO CORPORATION,westcowdw@verizon.net,Oaklyn,NJ,Active,Active
14830,1432358,R969,2 RIVER GROUP,katherine@2rivergroup.com,RUMSON,NJ,1432358,R969,2 RIVER GROUP,info@2rivergroup.com,RUMSON,NJ,Active,Active
173,173,0156,24-7 TEAM SALES,,MARIETTA,GA,173,0156,24-7 TEAM SALES,cme2save@aol.com,MARIETTA,GA,Active,Active
13672,14780,R321,24/7 FIRE PROTECTION INC.,,,,14780,R321,24/7 FIRE PROTECTION INC.,,,,Active,Active
14623,1432017,8527,"2COM GROUP, LLC.",,LIVINGSTON,NJ,1432017,8527,"2COM GROUP, LLC.",rbrembs@2comgroup.com,LIVINGSTON,NJ,Active,Active
12797,13301,5124,2K PRINTING & PROMOTIONS LLC,,CRANFORD,NJ,13301,5124,2K PRINTING & PROMOTIONS LLC,kyle@2kprinting.com,CRANFORD,NJ,Active,Active
14694,1432117,8755,3 WITH 1 GRAB PRODUCTIONS,3w1gproductions@gmail.com,DUMONT,NJ,1432117,8755,3 WITH 1 GRAB PRODUCTIONS,3w1gproductions@gmail.com,DUMONT,NJ,Active,Active
5036,5036,5709,"303 AUTO PARTS, INC.",,ORANGEBURG,NY,5036,5709,"303 AUTO PARTS, INC.",,ORANGEBURG,NY,Inactive,Inactive
14800,1432230,8781,365 TEAM SPORTS,,MARLBORO ,NJ,1432230,8781,365 TEAM SPORTS,Keith@365sports.org,MARLBORO ,NJ,Active,Active
12845,13357,8731,3C CUSTOM COLOR CONCEPTS,,RIDGELAND,SC,13357,8731,3C CUSTOM COLOR CONCEPTS,3cestimator@gmail.com,RIDGELAND,SC,Active,Active
13879,15064,R428,"3C SOLUTIONS, INC.",Orquidia@3-c-solutions.com,HEWLETT,NY,15064,R428,"3C SOLUTIONS, INC.",Orcasanova@hotmail.com,HEWLETT,NY,Active,Active
11663,11689,X002,"3D INDUSTRIAL SALES & SERVICE, INC.",,WESTBURY       ,NY,11689,X002,"3D INDUSTRIAL SALES & SERVICE, INC.",pellegrino3d@optonline.net,WESTBURY       ,NY,Active,Active
15926,1711170,T755,3G Landscape Design & Supply ,,South Plainfield,NJ,1711170,T755,3G Landscape Design & Supply ,,South Plainfield,NJ,Inactive,Inactive
3958,3958,3M  ,3M ,,ST PAUL,MN,3958,  ,,,ST PAUL,MN,Inactive,Inactive
383,383,0361,3M  / LARRY COX,,PHILADELPHIA,PA,383,0361,3M  / LARRY COX,,PHILADELPHIA,PA,Inactive,Inactive
290,290,0270,3M AUDIO VISUAL DIVISION,,ROCKAWAY BEACH,NY,290,0270,3M AUDIO VISUAL DIVISION,,ROCKAWAY BEACH,NY,Inactive,Inactive
276,276,0257,3M CO.,,PARAMUS,NJ,276,0257,3M CO.,,PARAMUS,NJ,Inactive,Inactive
435,435,0412,3M CO.,,PARAMUS,NJ,435,0412,3M CO.,,PARAMUS,NJ,Inactive,Inactive
3959,3959,3MCO,3M CO/DUPLICATING PROD DIV,,ST. PAUL,MN,3959,3MCO,3M CO/DUPLICATING PROD DIV,,ST. PAUL,MN,Active,Active
3254,3254,3277,3M Company,,Saint Paul,MN,3254,3277,3M Company,jglaeser@mmm.com,Saint Paul,MN,Active,Active
477,477,0453,3M COMPANY,,,,477,0453,3M COMPANY,,,,Active,Active
4675,4675,4751,3M HOME & COMMERCIAL CARE DIV,,ST. PAUL,MN,4675,4751,3M HOME & COMMERCIAL CARE DIV,kltholen@mmm.com,ST. PAUL,MN,Inactive,Inactive
3650,3650,3675,3M PHILADELPHIA SALES,,TREVOSE,PA,3650,3675,3M PHILADELPHIA SALES,,TREVOSE,PA,Active,Active
4317,4317,4373,3M UNITEK DIVISION,,MONROVIA,CA,4317,4373,3M UNITEK DIVISION,,MONROVIA,CA,Active,Active
266,266,0248,3M VISUAL SYSTEMS DIVISION,,NEW YORK,NY,266,0248,3M VISUAL SYSTEMS DIVISION,,NEW YORK,NY,Inactive,Inactive
12875,13390,0153,4 INDUSTRIAL SUPPLLIES,gmitchell@forindustrialsupplies.com,HOUSTON,TX,13390,0153,4 INDUSTRIAL SUPPLLIES,,HOUSTON,TX,Inactive,Inactive
4254,4254,4310,4 SEASONS SWIMWEAR,,PALM DESERT,CA,4254,4310,4 SEASONS SWIMWEAR,,PALM DESERT,CA,Active,Active
