MeasurementTime,FileID,ReadLatencyMS,WriteLatencyMS,ReadThroughputMB,WriteThroughputMB,ReadLatencyScore,WriteLatencyScore
2026-01-09 14:09:00,16,3,63,17.48,2.12,0,269
2026-01-09 14:09:00,18,3,59,1.55,0.06,0,253
2026-01-09 14:03:00,16,314,0,323.10,0,2685,0
2026-01-09 14:03:00,18,155,0,0.51,0,659,0
2026-01-09 14:03:00,20,0,95,0,0.17,0,403
2026-01-09 14:03:00,56,0,56,0,0.02,0,239
2026-01-09 13:50:00,16,4,74,25.66,1.89,0,317
2026-01-09 13:50:00,18,3,77,3.70,0.04,0,329
2026-01-09 13:46:00,16,4,66,16.40,2.18,0,282
2026-01-09 13:46:00,18,4,63,0.93,0.03,0,270
2026-01-09 13:34:00,18,3,52,0.52,0.04,0,224
2026-01-09 13:26:00,16,3,60,33.61,1.91,0,256
2026-01-09 13:26:00,18,3,55,6.39,0.04,0,234
2026-01-09 13:20:00,16,3,60,15.12,1.86,0,253
2026-01-09 13:16:00,56,0,51,0,0.01,0,213
2026-01-09 13:13:00,16,3,63,34.55,1.90,0,270
2026-01-09 13:13:00,18,3,65,7.06,0.06,0,277
2026-01-09 13:08:00,16,7,61,11.00,2.04,0,260
2026-01-09 13:08:00,18,3,62,1.00,0.05,0,266
2026-01-09 13:06:00,18,7,57,0.61,0.04,0,242
2026-01-09 13:06:00,16,4,53,7.69,2.17,0,228
2026-01-09 13:04:00,16,4,56,22.77,1.84,0,241
2026-01-09 13:04:00,18,4,52,5.88,0.05,0,225
2026-01-09 12:58:00,16,4,50,4.12,2.29,0,213
2026-01-09 12:55:00,16,3,64,9.98,2.13,0,276
2026-01-09 12:55:00,18,3,63,0.85,0.04,0,271
2026-01-09 12:49:00,16,4,74,10.42,1.68,0,317
2026-01-09 12:49:00,18,4,89,1.92,0.05,0,380
2026-01-09 12:47:00,18,6,61,3.14,0.03,0,261
2026-01-09 12:47:00,16,4,58,5.47,2.34,0,249
2026-01-09 12:45:00,18,4,85,0.43,0.05,0,364
2026-01-09 12:45:00,16,3,96,4.94,2.21,0,414
2026-01-09 12:42:00,16,113,1,21.40,0.00,1431,0
