ID,DateIdentified,SQLHash,Executions,WaitTimeMS,EstimatedSaving%,Database,Schema,Table,IndexName,SQLPreview
37529,2026-01-06 00:00:00,6165020754,1,4,99.992,tempdb,dbo,#BidList, ,SELECT Count(*) FROM [Master Catalog] where  catalogid = 2018258 and UniqueItemNumber != PackedCode
36461,2025-12-11 00:00:00,6401319922,41,3,99.985,EDS,dbo,Budgets, ,"(@P1 int,@P2 int,@P3 datetime,@P4 datetime,@P5 int)SELECT  A.EMAILBLASTLOGID, A.EMAILBLASTID, A.PRIM"
37584,2026-01-07 00:00:00,3035590148,3,16,99.985,EDS,dbo,Budgets, ,"SELECT  A.EMAILBLASTLOGID, A.EMAILBLASTID, A.PRIMARYRECIPIENT, A.CONTACTFULLNAME, A.EMAILSENTTO, A.S"
37585,2026-01-07 00:00:00,4449878463,3,2,99.985,EDS,dbo,Budgets, ,"SELECT  A.EMAILBLASTLOGID, A.EMAILBLASTID, A.PRIMARYRECIPIENT, A.CONTACTFULLNAME, A.EMAILSENTTO, A.S"
36460,2025-12-11 00:00:00,5779685164,2,15,99.984,EDS,dbo,Budgets, ,"SELECT  A.EMAILBLASTLOGID, A.EMAILBLASTID, A.PRIMARYRECIPIENT, A.CONTACTFULLNAME, A.EMAILSENTTO, A.S"
36688,2025-12-16 00:00:00,4312295684,1,4,99.883,EDS_TEST,dbo,SKI_AIDate_HashKey,CrossRefs,"WITH x AS (
  SELECT TOP (20000) SysId, CatalogId, VendorItemCode
  FROM Catalogs.dbo.uniqueCodes
)
"
37048,2025-12-22 00:00:00,3475408651,52,8,99.834,EDS,dbo,PK_BidRequestItemMergeHistory,BidRequestItemMergeActions,"(@P0 nvarchar(4000))declare @userEmail varchar(255) =  @P0 
declare @code as varchar(8) = left(newid"
37084,2025-12-23 00:00:00,3475408651,36,3,99.834,EDS,dbo,PK_BidRequestItemMergeHistory,BidRequestItemMergeActions,"(@P0 nvarchar(4000))declare @userEmail varchar(255) =  @P0 
declare @code as varchar(8) = left(newid"
37365,2026-01-04 00:00:00,3475408651,16,1,99.834,EDS,dbo,PK_BidRequestItemMergeHistory,BidRequestItemMergeActions,"(@P0 nvarchar(4000))declare @userEmail varchar(255) =  @P0 
declare @code as varchar(8) = left(newid"
37325,2026-01-02 00:00:00,3475408651,11,1,99.834,EDS,dbo,PK_BidRequestItemMergeHistory,BidRequestItemMergeActions,"(@P0 nvarchar(4000))declare @userEmail varchar(255) =  @P0 
declare @code as varchar(8) = left(newid"
37108,2025-12-24 00:00:00,3475408651,8,2,99.834,EDS,dbo,PK_BidRequestItemMergeHistory,BidRequestItemMergeActions,"(@P0 nvarchar(4000))declare @userEmail varchar(255) =  @P0 
declare @code as varchar(8) = left(newid"
37020,2025-12-21 00:00:00,3475408651,6,5,99.834,EDS,dbo,PK_BidRequestItemMergeHistory,BidRequestItemMergeActions,"(@P0 nvarchar(4000))declare @userEmail varchar(255) =  @P0 
declare @code as varchar(8) = left(newid"
37278,2026-01-01 00:00:00,3475408651,5,3,99.834,EDS,dbo,PK_BidRequestItemMergeHistory,BidRequestItemMergeActions,"(@P0 nvarchar(4000))declare @userEmail varchar(255) =  @P0 
declare @code as varchar(8) = left(newid"
37347,2026-01-03 00:00:00,3475408651,4,2,99.834,EDS,dbo,PK_BidRequestItemMergeHistory,BidRequestItemMergeActions,"(@P0 nvarchar(4000))declare @userEmail varchar(255) =  @P0 
declare @code as varchar(8) = left(newid"
