SQLHash,TotalExecutions,TotalDiskReads,TotalBufferGets,TotalRowsReturned,AvgBufferGetsPerExec,AvgDiskReadsPerExec,SQLPreview
3977744925,724,64238907,27506736236,685,37992729.61,88727.77,"insert DMSVendorBidDocuments (VendorCode, DistrictVisible, BidHeaderId, BidNbr, DocType, ExpirationDate, DocumentNumber, DocId, PagesCaptured, FileName)
select v.VendorCode, v.DistrictVisible, v.BidH"
5432150664,722,299135728,21531867748,48,29822531.51,414315.41,"insert DMSVendorBidDocuments (VendorCode, DistrictVisible, BidHeaderId, BidNbr, DocType, ExpirationDate, DocumentNumber, DocId, PagesCaptured, FileName)
select v.VendorCode, v.DistrictVisible, v.BidH"
4730038114,722,1824272,21076600704,288,29191967.73,2526.69,"insert DMSBidDocuments (BidHeaderId, BidNbr, DocType, DocId, DistrictVisible, PagesCaptured, FileName)
select v.BidHeaderId, v.BidNbr, v.DocType, v.DocId, v.DistrictVisible, v.PagesCaptured, v.FileNa"
3967956687,2891,16750739,16998577569,780502317,5879826.21,5794.1,"-- insert new vendors
insert registrations (active, vendorid, code, password, email, name, address1, address2, address3, city, state, zipcode, phone, fax, contact)
select vendors.active, vendors.ven"
3967956687,2891,16750739,16998577569,780502317,5879826.21,5794.1,"egcalendar.bscid = BidScheduleCats.BSCId
 where regcalendar.regcalendarid is null
 group by registrations.registrationid, BidScheduleCats.BSCId--, bidcalendar.calendarid
 order by registrations.reg"
3967956687,2891,16750739,16998577569,780502317,5879826.21,5794.1,"endorcontactid = VendorContacts.VendorContactId
 where regusers.reguserId is null

--Deactive Deleted Contacts 
update regusers
   set active = 0
--select * 
  from regusers
  left outer join "
2375636372,13,178256,7481049634,303,575465356.46,13712.0,"(@P1 int)
            WITH VendorStats AS (
                SELECT
                    v.VendorId,
                    v.Name AS VendorName,
                    v.City,
                    v.State,
  "
2641967533,5253,144916,4105308421,7467327,781516.93,27.59,"(@P0 int)SELECT VendorCategory.CategoryId, ISNULL((select top 1 v.VendorId from Vendors v where v.Name = Vendors.name and v.Active = 1 order by v.VendorId),0) VendorId, (select top 1 v.DistrictId from"
4053813290,88,12180585,3757085392,47,42694152.18,138415.74,"P104 , @P105 , @P106 , @P107 , @P108 , @P109 , @P110 , @P111 , @P112 , @P113 , @P114 , @P115 , @P116 , @P117 , @P118 , @P119 , @P120 , @P121 , @P122 , @P123 , @P124 , @P125 , @P126 , @P127 , @P128 , @"
4053813290,88,12180585,3757085392,47,42694152.18,138415.74,",0) when 0 then case ItemMustBeBid when 1 then '*** Items Not Bid ***' else '** No Bid **' end else '*** Missing Vendor Name ***' end ) +
				isnull(SortSeq,'') Sort_Vendor
				, '<img class=""searchTh"
